hs_code,description,duty_rate,vat_rate,all_in_rate
0302520000,"-- Eglefins (Melanogrammus aeglefinus),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302530000,"-- Lieus noirs (Pollachius virens),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302540000,"-- Merlus (Merluccius spp., Urophycis spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302550000,"-- Lieus d?'Alaska (Theragra chalcogramma),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302560000,"-- Merlans bleus (Micromesistius poutassou ou australis),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302590000,"-- Autres poissons des familles Bregmacerotidae …,  frais ou réfrigérés, non dénommés ailleurs,  sauf les abats des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302710000,"-- Tilapias (Oreochromis spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302720000,"-- Siluridés (Pangasius spp., Silurus spp.,  Ictalurus spp.),  frais ou réfrigérés, sauf  les abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302730000,"-- Carpes (Cyprinus carpio ... Mylopharyngodon piceus),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302740000,"-- Anguilles (Anguilla spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302790000,"-- Perches du Nil (Lates nilot.) et poissons tête de serpent (channa spp.),  frais ou réfrigérés, sauf les abats des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302810000,"-- Squales,  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302820000,"-- Raies (Rajidae),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302830000,"-- Légines (Dissostichus spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302840000,"-- Bars (Dicentrarchus spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302850000,"-- Dorades (Sparidés) (Sparidae),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302890000,"-- Autres poissons frais ou réfrigérés du N° 03.02, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0203190000,"-- Autres viandes des animaux de l'espèce porcine, fraîches ou réfrigérées, du n° 02.03",35.0,18.0,
0203210000,"-- Viandes des animaux de l'espèce porcine, congelées, en carcasses ou demi-carcasses",35.0,18.0,
0203220000,"-- Jambons, épaules et leurs morceaux, des animaux de l'espèce porcine, congelés, non désossés",35.0,18.0,
0203290000,"-- Autres viandes des animaux de l'espèce porcine, congelées, du n° 02.03",35.0,18.0,
0204100000,"- Carcasses et demi-carcasses d?'agneau, fraîches ou réfrigérées",35.0,18.0,22.5
0204210000,"-- Viandes des animaux de l'espèce ovine, fraîches ou réfrigérées, en carcasses ou demi-carcasses, autres que d'agneau",35.0,18.0,22.5
0204220000,"-- Viandes des animaux de l'espèce ovine, fraîches ou réfrigérées, autres qu'en carcasses ou demi-carcasses, non désossées",35.0,18.0,22.5
0204230000,"-- Viandes des animaux de l'espèce ovine, fraîches ou réfrigérées, désossées",35.0,18.0,22.5
0204300000,"- Carcasses et demi-carcasses d?'agneau, congelées",35.0,18.0,22.5
0204410000,"-- Viandes des animaux de l'espèce ovine, congelées, en carcasses ou demi-carcasses, autres que d'agneau",35.0,18.0,22.5
0204420000,"-- Viandes des animaux de l'espèce ovine, congelées, autres qu'en carcasses ou demi-carcasses, non désossées",35.0,18.0,22.5
0204430000,"-- Viandes des animaux de l'espèce ovine, congelées, désossées",35.0,18.0,22.5
0204500000,"- Viandes des animaux de l'espèce caprine fraîche, réfrigérée ou congelée",35.0,18.0,22.5
0205000000,"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées.",20.0,18.0,22.5
0206100000,"- Abats comestibles des animaux de l'espèce bovine, frais ou réfrigérés",35.0,18.0,
0206210000,"-- Langues des animaux de l'espèce bovine, congelées",35.0,18.0,
0206220000,"-- Foies des animaux de l'espèce bovine, congelés",35.0,18.0,22.5
0206290000,"-- Abats comestibles autres que les langues et les foies, des animaux de l'espèce bovine, congelés",35.0,18.0,
0206300000,"- Abats comestibles des animaux de l'espèce porcine, frais ou réfrigérés",35.0,18.0,
0206410000,"-- Foies  des animaux de l'espèce porcine, congelés",35.0,18.0,
0206490000,"-- Abats comestibles autres que les foies, des animaux de l'espèce porcine, congelés",35.0,18.0,
0206800000,"- Abats comestibles des animaux des espèces ovine, caprine, chevaline, asine ou mulassière, frais ou réfrigérés",35.0,18.0,22.5
0206900000,"- Abats comestibles des animaux des espèces ovine, caprine, chevaline, asine ou mulassière, congelés",35.0,18.0,
0207110000,"-- Viandes de coqs et de poules, non découpées en morceaux, fraîches ou réfrigérées",35.0,18.0,
0207120000,"-- Viandes de coqs et de poules, non découpées en morceaux, congelées",35.0,18.0,
0207130000,"-- Morceaux et abats comestibles, de coqs et de poules, frais ou réfrigérés",35.0,18.0,
0209900000,"- Graisse de volailles non fondue ni autrement extraite, fraîche, réfrigérée, congelée, salée ou en saumure, séchée ou fumée",20.0,18.0,22.5
0210110000,"-- Jambons, épaules et leurs morceaux, comestibles, de l'espèce porcine, salés ou en saumure, séchés ou fumés, non désossés",20.0,18.0,
0210120000,"-- Poitrines (entrelardées) et leurs morceaux, comestibles, de l'espèce porcine, salés ou en saumure, séchés ou fumés",20.0,18.0,
0210190000,"-- Viandes salées ou en saumure, séchées ou fumées, de l'espèce porcine, autres que les jambons, épaules et leurs (…), poitrines (…)",20.0,18.0,
0210200000,"- Viandes de l'espèce bovine salées ou en saumure, séchées ou fumées",35.0,18.0,
0210910000,"-- Viandes et abats comestibles, salés ou en saumure, séch (…) de primates; farines et poudres comestibles de viandes ou d'abats de primates",20.0,18.0,22.5
0210920000,"-- Viandes et abats salés ou en saumure, séchés ou fumés, farines et poudres de viandes ou d'abats, comestibles, de baleines,… morses",20.0,18.0,22.5
0210930000,"-- Viandes et abats comestibles, salés ou en saumure, séch (…) de reptiles; farines et poudres comestibles de viandes ou d'abats de reptiles",20.0,18.0,22.5
0210990000,"-- Autres viandes et abats, salés ou en saumure, séchés ou fumés, farines et poudres de viande ou d'abats, comestibles",20.0,18.0,22.5
